P,ET,modeled_Q,obs_Q
0,0.48,7.231,8.640
3.1,0.48,5.643,4.852
0.4,0.47,4.904,4.386
0,0.46,4.102,4.021
0,0.46,3.569,3.622
0,0.46,3.199,3.423
0,0.46,2.919,3.257
0,0.46,2.7,3.057
0,0.46,2.523,2.841
0,0.46,2.378,2.675
0,0.46,2.255,2.442
0,0.46,2.15,2.409
